2230
g,-30,500,30,220
g,0,690,6600,30
g,181,593,30,97
g,271,494,30,97
w,356,392,30,104
b,435,289,30,99
g,503,192,142,30
g,726,192,104,30
w,899,192,92,30
b,1058,192,89,30
g,1117,222,30,468
b,1029,591,88,30
w,934,489,88,30
b,762,489,99,30
g,630,391,101,30
w,630,291,102,30
g,1589,402,30,288
g,1619,402,346,30
g,1935,226,30,176
b,1453,591,136,30
w,1300,490,125,30
w,1300,291,58,30
b,1359,192,52,30
w,1690,303,79,30
b,1804,204,77,30
b,1359,389,46,30
b,1935,43,30,183
g,2065,67,30,393
w,1752,591,96,30
g,2191,0,30,587
g,2065,530,30,160
b,1893,534,85,30
d,3130,643,39,51
